Geography,Soap and water,Water and a cleansing agent other than soap only,Water only,Soap but no water,Cleansing agent other than soap only,"No water, no soap, and no other cleansing agent"
Nigeria,38,0.7,26.8,2.1,0.5,31.9
Urban,49.9,0.7,24,2.3,0.7,22.3
Rural,26.6,0.7,29.4,2,0.3,41
North Central,17.4,0.7,29.1,1.4,0,51.4
North East,9.7,1,32.2,2.1,0.4,54.7
North West,27.2,1.2,28.7,1.8,0.3,40.9
South East,58.3,0.1,21.2,0.4,0.1,20
South West,57.1,0.8,27.3,2.6,1.5,10.7
South South,56.1,0,18.8,4.8,0,20.3
FCT Abuja,49.1,0,27.5,1.4,0,22
Benue,1.7,0,0.5,0.1,0,97.6
Kogi,48.8,0.7,34.1,10.1,0,6.3
Kwara,4.2,0.3,45.4,0.1,0.1,49.9
Nasarawa,21.3,0.7,23,0.6,0,54.5
Niger,13,0.8,73.8,0.4,0,12
Plateau,25.4,2,20.6,0.8,0.1,51.1
Adamawa,3.7,1,30.9,0.1,0,64.3
Bauchi,3.9,0,8.2,1.6,0.2,86.1
Borno,10.8,2.3,39.5,0.4,1.1,45.9
Gombe,47,0.4,43.3,2.6,2.2,4.5
Taraba,9.8,3.9,82.1,1,0,3.2
Yobe,9.4,0.6,41.7,5.2,0.1,43
Jigawa,3,0,38,0.8,0.1,58.1
Kaduna,5.9,1,46.6,0.3,0.2,46
Kano,28.2,0.9,19,3.9,0.3,47.5
Katsina,88.5,2.5,4.2,1.9,0.2,2.7
Kebbi,2,1.9,64.1,0,0,32
Sokoto,5.1,0,88.8,0.2,0.4,5.6
Zamfara,4.2,0.6,10.6,3.7,0.7,80.2
Abia,71.6,0.2,25,1.1,0,2.1
Anambra,95.9,0,3.6,0.1,0,0.4
Ebonyi,9.7,0.2,4.5,1.2,0.3,84
Enugu,23.8,0,30.3,0.2,0.1,45.7
Imo,49.9,0.2,48.2,0.2,0,1.6
Ekiti,29.3,16,8.4,3.4,31.3,11.5
Lagos,59.3,0.1,36.3,0.4,0.3,3.7
Ogun,34.1,0,63.2,0.1,0,2.6
Ondo,5.3,0,0.6,0.7,0,93.4
Osun,95,0,4.2,0,0,0.8
Oyo,62.1,0.1,13.8,9.9,0,14.2
Akwa Ibom,27.7,0,7,2.9,0,62.4
Bayelsa,12.8,0,76.1,0.3,0,10.8
Cross River,60.4,0,26.4,4.1,0,9.1
Delta,60.6,0,15.2,11.1,0.2,12.9
Edo,38.1,0,8.9,4.3,0,48.7
Rivers,86.4,0,1.5,3.9,0,8.1